group,persona,policy,sequence_id,seed,options,correct,correct_position
1,H1,scorer,S001,42,H1|H3|H4,H1,1
1,H2,nonlinear_2b,S005,43,H1|H2|H5,H2,2
1,H3,agnostic_nonlinear_2b,S009,44,H2|H3|H6,H3,2
1,H4,scorer,S010,45,H4|H5|H6,H4,1
1,H5,nonlinear_2b,S014,46,H3|H4|H5,H5,3
1,H6,agnostic_nonlinear_2b,S018,47,H1|H5|H6,H6,3
2,H1,nonlinear_2b,S002,42,H1|H3|H4,H1,1
2,H2,agnostic_nonlinear_2b,S006,43,H1|H2|H5,H2,2
2,H3,scorer,S007,44,H2|H3|H6,H3,2
2,H4,nonlinear_2b,S011,45,H4|H5|H6,H4,1
2,H5,agnostic_nonlinear_2b,S015,46,H3|H4|H5,H5,3
2,H6,scorer,S016,47,H1|H5|H6,H6,3
3,H1,agnostic_nonlinear_2b,S003,42,H1|H3|H4,H1,1
3,H2,scorer,S004,43,H1|H2|H5,H2,2
3,H3,nonlinear_2b,S008,44,H2|H3|H6,H3,2
3,H4,agnostic_nonlinear_2b,S012,45,H4|H5|H6,H4,1
3,H5,scorer,S013,46,H3|H4|H5,H5,3
3,H6,nonlinear_2b,S017,47,H1|H5|H6,H6,3
